,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,Loan_Amount_Term,Credit_History,Property_Area,TotalIncometrainlog,LoanAmountlog,LoanStatus
0,LP001002,1,0,0,0,0,5849,360.0,1.0,2,8.674025985443025,4.986425672954842,1
1,LP001003,1,1,1,0,0,4583,360.0,1.0,0,8.714567550836485,4.852030263919617,0
2,LP001005,1,1,0,0,1,3000,360.0,1.0,2,8.006367567650246,4.189654742026425,1
3,LP001006,1,1,0,1,0,2583,360.0,1.0,2,8.50532301884575,4.787491742782046,1
4,LP001008,1,0,0,0,0,6000,360.0,1.0,2,8.699514748210191,4.948759890378168,1
5,LP001011,1,1,2,0,1,5417,360.0,1.0,2,9.170871628065816,5.58724865840025,1
6,LP001013,1,1,0,1,0,2333,360.0,1.0,2,8.255568653283746,4.553876891600541,1
7,LP001014,1,1,3,0,0,3036,360.0,0.0,1,8.61974977974133,5.062595033026967,0
8,LP001018,1,1,2,0,0,4006,360.0,1.0,2,8.61830469278465,5.123963979403259,1
9,LP001020,1,1,1,0,0,12841,360.0,1.0,1,10.077818939438902,5.855071922202427,0
10,LP001024,1,1,2,0,0,3200,360.0,1.0,2,8.268731832117737,4.248495242049359,1
11,LP001027,1,1,2,0,0,2500,360.0,1.0,2,8.375629627094451,4.6913478822291435,1
12,LP001028,1,1,2,0,0,3073,360.0,1.0,2,9.321792297270326,5.298317366548036,1
13,LP001029,1,0,0,0,0,1853,360.0,1.0,0,8.453827315794417,4.736198448394496,0
14,LP001030,1,1,2,0,0,1299,120.0,1.0,2,7.776954403322442,2.833213344056216,1
15,LP001032,1,0,0,0,0,4950,360.0,1.0,2,8.507142855562735,4.8283137373023015,1
16,LP001034,1,0,1,1,0,3596,240.0,1.0,2,8.18757739559151,4.605170185988092,1
17,LP001036,0,0,0,0,0,3510,360.0,0.0,2,8.163371316459912,4.330733340286331,0
18,LP001038,1,1,0,1,0,4887,360.0,1.0,0,8.494333897270154,4.890349128221754,0
19,LP001041,1,1,0,0,0,2600,360.0,1.0,2,8.716044050161402,4.74493212836325,1
20,LP001043,1,1,0,1,0,7660,360.0,0.0,2,8.943767262734637,4.6443908991413725,0
21,LP001046,1,1,1,0,0,5955,360.0,1.0,2,9.357034751126987,5.752572638825633,1
22,LP001047,1,1,0,1,0,2600,360.0,0.0,1,8.414274137408396,4.7535901911063645,0
23,LP001050,1,1,2,1,0,3365,360.0,0.0,0,8.572060092857077,4.718498871295094,0
24,LP001052,1,1,1,0,0,3717,360.0,1.0,1,8.801168401936692,5.017279836814924,0
25,LP001066,1,1,0,0,1,9560,360.0,1.0,1,9.165343006045447,5.25227342804663,1
26,LP001068,1,1,0,0,0,2799,360.0,1.0,1,8.527539483470381,4.804021044733257,1
27,LP001073,1,1,2,1,0,4226,360.0,1.0,2,8.569026340056254,4.700480365792417,1
28,LP001086,1,0,0,1,0,1442,360.0,1.0,2,7.273786317844895,3.5553480614894135,0
29,LP001087,0,0,2,0,0,3750,360.0,1.0,1,8.671286726753637,4.787491742782046,1
30,LP001091,1,1,1,0,0,4166,360.0,1.0,2,8.927314111060596,5.303304908059076,0
31,LP001095,1,0,0,0,0,3167,360.0,1.0,2,8.06054004653864,4.30406509320417,0
32,LP001097,1,0,1,0,1,4692,360.0,1.0,0,8.453614209773367,4.663439094112067,0
33,LP001098,1,1,0,0,0,3500,360.0,1.0,1,8.550047528287184,4.736198448394496,1
34,LP001100,1,0,3,0,0,12500,360.0,1.0,0,9.648595302907339,5.768320995793772,0
35,LP001106,1,1,0,0,0,2275,360.0,1.0,2,8.376090350438238,4.986425672954842,1
36,LP001109,1,1,0,0,0,1828,360.0,0.0,2,8.057694194815587,4.605170185988092,0
37,LP001112,0,1,0,0,0,3667,360.0,1.0,1,8.542080906924017,4.969813299576001,1
38,LP001114,1,0,0,0,0,4166,360.0,1.0,2,9.339261152043022,5.214935757608986,1
39,LP001116,1,0,0,1,0,3748,360.0,1.0,1,8.59711281459211,4.700480365792417,1
40,LP001119,1,0,0,0,0,3600,360.0,1.0,2,8.1886891244442,4.382026634673881,0
41,LP001120,1,0,0,0,0,1800,360.0,1.0,2,8.0106915391303,3.8501476017100584,1
42,LP001123,1,1,0,0,0,2400,360.0,1.0,2,7.783224016336037,4.31748811353631,1
43,LP001131,1,1,0,0,0,3941,360.0,1.0,1,8.744647438317532,4.897839799950911,1
44,LP001136,1,1,0,1,1,4695,360.0,1.0,2,8.454253391642363,4.564348191467836,1
45,LP001137,0,0,0,0,0,3410,360.0,1.0,2,8.134467570277563,4.477336814478207,1
46,LP001138,1,1,1,0,0,5649,360.0,1.0,2,8.639233817325263,3.784189633918261,1
47,LP001144,1,1,0,0,0,5821,360.0,1.0,2,8.669227347271736,4.969813299576001,1
48,LP001146,0,1,0,0,0,2645,360.0,0.0,2,8.713582005421628,4.787491742782046,0
49,LP001151,0,0,0,0,0,4000,360.0,1.0,1,8.744328763999984,4.969813299576001,1
50,LP001155,0,1,0,1,0,1928,360.0,1.0,1,8.18088094199639,4.605170185988092,1
51,LP001157,0,0,0,0,0,3086,360.0,1.0,1,8.034631032923107,4.787491742782046,1
52,LP001164,0,0,0,0,0,4230,360.0,1.0,1,8.349957272040324,4.718498871295094,0
53,LP001179,1,1,2,0,0,4616,360.0,1.0,2,8.437283808187935,4.897839799950911,0
54,LP001186,0,1,1,0,1,11500,360.0,0.0,2,9.350102314351341,5.655991810819852,0
